"date","plot_match","lon","lat","wind_speed_mean","lai_high_mean","lai_low_mean","temp_mean","max_temp","min_temp","vpd_mean","surf_net_sol_sum","surf_net_sol_clear_sum","top_net_sol_sum","top_net_sol_clear_sum","cloud_mean","precip_sum","CLYPPT_M_sl1_1km_ll","CLYPPT_M_sl7_1km_ll","SLTPPT_M_sl1_1km_ll","SLTPPT_M_sl7_1km_ll","SNDPPT_M_sl1_1km_ll","SNDPPT_M_sl7_1km_ll","ORCDRC_M_sl1_1km_ll","ORCDRC_M_sl7_1km_ll","CECSOL_M_sl1_1km_ll","CECSOL_M_sl7_1km_ll"
2018-08-06,"ZIS_1405",23.40056,-13.59615,2.55964210560762,3.19461838703878,1.64016357559717,295.958707418653,305.687704423487,288.64712366408,-0.205294331870125,9870897.62922497,9806740.73337097,12834661.5476172,12770522.5178154,0,2.08166817117217e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-07,"ZIS_1405",23.40056,-13.59615,2.80433899326084,3.19441003691604,1.64011779340895,296.919360414833,306.281116017526,289.795863786989,-0.225315424905674,9847856.468039,9783426.82630125,12904461.6275769,12839783.9696031,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-08,"ZIS_1405",23.40056,-13.59615,2.62509497952831,3.19417640348765,1.6401116911041,296.894113928223,306.096905096508,289.849969869218,-0.217853811812222,9864289.18804266,9799344.50612668,12966654.6796271,12901706.7495155,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-09,"ZIS_1405",23.40056,-13.59615,2.88548245876382,3.19394120257161,1.6401116911041,297.663520259796,306.781118193196,290.140099054341,-0.231932498904172,9797996.64169197,9736480.4741428,13046298.071506,12985367.5635787,0.097122823615583,2.08166817117217e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-10,"ZIS_1405",23.40056,-13.59615,2.81424272707708,3.19372013232852,1.64010151873329,297.032837744219,306.429850511264,289.571995678108,-0.223167912164565,9898449.25957914,9833114.27073383,13091119.5138938,13025511.8309249,0.0188899740080061,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-11,"ZIS_1405",23.40056,-13.59615,3.19152314364873,3.19346609827658,1.63998962265433,297.447748876878,306.145571625919,288.688019258457,-0.241671860581183,9942704.90262921,9876980.97019822,13144872.5877955,13079023.5578411,0,1.04083408558608e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-12,"ZIS_1405",23.40056,-13.59615,3.31591672767165,3.1932428576421,1.63998962265433,296.316685158488,303.848236579936,290.070947784209,-0.206692030408474,9994570.98780767,9929196.18659301,13192941.6319717,13127841.2515221,0.178474966810615,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-13,"ZIS_1405",23.40056,-13.59615,2.7549653840146,3.19301717714123,1.63998962265433,295.7740368391,303.361345168983,290.129289760115,-0.18751145096729,9922252.06012238,9865939.84661163,13265327.7267941,13210354.2298384,0.443274126521498,-4.16333634234434e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-14,"ZIS_1405",23.40056,-13.59615,2.90810744503921,3.19277424713578,1.63998962265433,295.931437458235,303.787819675089,290.858493354791,-0.174058867505433,9789551.35470679,9751092.55904659,13328279.930783,13305626.6691896,0.0375421543344574,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-15,"ZIS_1405",23.40056,-13.59615,3.0864614216725,3.19513804039449,1.64061013727399,295.973757114984,304.72153829881,290.299283968663,-0.182489681380223,9978436.81369692,9911178.49755085,13403412.459921,13336133.7512398,0,4.16333634234434e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-16,"ZIS_1405",23.40056,-13.59615,2.86264939062698,3.20055281144733,1.64200375207553,295.529825950667,303.914336380979,289.904161316657,-0.181894674037035,10197713.4138831,10129193.4110753,13416155.6643523,13347492.0231334,0.142616442606524,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-17,"ZIS_1405",23.40056,-13.59615,2.28789874341903,3.20598507043426,1.64340753924788,295.168206470414,303.75622352762,289.14977542475,-0.173024848956706,10074831.9206507,10128878.1163689,13362182.5745197,13416209.7605786,0.399237788595059,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-18,"ZIS_1405",23.40056,-13.59615,2.49336528948307,3.21140508507323,1.64483167116186,295.647782088057,304.011923456622,288.830527553419,-0.17891466391336,10209029.2033632,10139063.9801016,13551933.6121954,13482074.2658508,0.00115717780863585,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
