"plot_group","sp_rich","sp_rich_raref","bchave_mean_95_0-0.05","bchave_mean_95_0.05-0.1","bchave_mean_95_0.1-0.15","bchave_mean_95_0.15-0.2","bchave_mean_95_0.2-0.25","bchave_mean_95_0.25-0.3","bchave_mean_95_0.3-0.35","bchave_mean_95_0.35-0.4","bchave_mean_95_0.4-0.45","bchave_mean_95_0.45-0.5","bchave_mean_95_0.5-0.55","bchave_mean_95_0.55-0.6","bchave_mean_95_0.6-0.65","bchave_mean_95_0.65-0.7","bchave_mean_95_0.7-0.75","bchave_mean_95_0.75-0.8","bchave_mean_95_0.8-0.85","bchave_mean_95_0.85-0.9","bchave_mean_95_0.9-0.95","bchave_mean_95_0.95-1"
"MLC-024",8,15.286,NA,0.0505381860642086,NA,0.0514753445964734,0.061724950888358,NA,0.101781081413614,0.176693736388403,NA,0.224822052845054,0.235272069990061,NA,0.294538156933894,0.446152786719659,NA,0.48561301196011,0.873848565467516,NA,0.991878603384096,NA
"MLC-025",8,10.179,NA,NA,NA,NA,0.0503242582518967,NA,0.052335794828986,0.0525139678662284,NA,0.0781410252056861,0.0889977275598178,NA,0.105854986585833,0.113470322197798,NA,0.234231471977408,0.239046503374448,NA,0.239638871988479,NA
"MLC-026",9,9.4,NA,NA,0.0448104895384156,NA,0.0555551258827982,NA,0.0628006207345804,NA,0.172504427764733,NA,NA,0.246324748960914,NA,0.448078967826932,NA,0.561227859033767,NA,0.591421176647368,NA,NA
"MLC-027",10,14.889,NA,NA,0.106157340389731,NA,NA,NA,NA,0.580677751406859,NA,NA,NA,NA,0.819366520557132,NA,0.875251443274172,NA,NA,0.98873855994112,NA,NA
"MLC-028",11,19.7,NA,NA,NA,0.0478488364169932,0.123434691271491,0.0711877913000102,0.0723494324092505,NA,0.21716269413431,0.124530581956452,0.134118749474551,0.275195123572554,0.141940200960622,0.353334356975398,0.205353767605879,0.445938116942597,0.277582297802455,0.644675184648875,NA,NA
"MLC-029",6,7.812,NA,0.0382697218691668,NA,NA,NA,NA,NA,NA,NA,0.0993340005073197,0.141958107200974,0.153888514156685,NA,0.164369486252565,0.175259524754542,NA,NA,0.23600179414866,0.534263652631475,NA
"MLC-030",6,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MLC-031",5,5.933,NA,0.0301689574308509,0.0338979083612096,NA,0.0386225086751066,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123857842522876,0.23817736049948,NA,0.395168767027913,0.409046861611863,NA
"MLC-032",10,9.055,NA,0.0314113661007707,0.0320577393156664,NA,NA,0.0410405403521666,0.0430132232816056,NA,NA,0.0721443204018878,0.104235212727872,NA,NA,NA,0.15593659625177,NA,NA,0.225965027152884,0.26749034319192,NA
"MLC-033",7,7.812,NA,NA,NA,NA,NA,0.0382847110411864,0.0487114655833504,NA,NA,0.0723869003463231,NA,NA,NA,0.136377886931104,0.153948787952727,NA,NA,0.345041864683808,0.5363394634984,NA
"MLC-034",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MLC-035",6,11.625,NA,0.0521980483131387,0.0604098598452996,NA,NA,NA,NA,NA,NA,0.155379612459085,0.211881077191235,0.225157911563194,NA,0.342657263504057,NA,NA,NA,0.527820731905682,0.571290788242597,NA
"MLC-036",6,6.824,NA,0.155539216317958,0.177217858622627,0.200499954858015,NA,NA,0.238638856568277,0.252218070253988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.934547630570336,NA
"MLC-037",12,13.961,NA,0.0349831389497499,0.0527448468149475,0.0643941707991221,0.0791234885506995,0.0819456732198731,0.0852230091994707,0.08774690781845,0.123421836071342,NA,NA,0.152665250047123,0.158974147196664,0.181051416596161,0.181062403414441,0.217672598315834,0.317536214471128,0.387163144991324,0.395632780800834,NA
"MLC-038",8,18.667,NA,0.0389350904521587,0.0402664471900034,NA,0.062553122996562,0.0754279831556139,NA,0.100320158235272,NA,NA,NA,0.175443750149781,0.213131152100532,NA,0.219148770171784,NA,NA,NA,0.335764903676425,NA
"MLC-039",9,13.729,NA,0.049341715733908,NA,0.0729487322562055,NA,0.152193747454485,NA,0.193648690849376,NA,0.207628565704844,0.220638930359837,NA,0.559824825017961,NA,0.733292042723717,NA,0.822797162636775,NA,1.28068885220359,NA
"MLC-040",13,17.375,NA,0.0310290399563974,0.0524760265109153,0.0543875096763391,0.0643819829011135,0.144491320073384,0.1637681693303,0.101101166321261,0.114338248682803,0.241942471837131,0.271923842680619,0.294852319103952,0.157126708218722,0.345605578777192,0.363388484720451,0.273725759626321,0.332360303281295,1.04022841519729,1.3114837365232,0.926135037228329
"MLC-041",7,6.235,NA,0.0379291156208334,0.0522255924811909,0.066795633965961,NA,NA,0.0746781642985203,0.080337527298412,NA,NA,NA,NA,NA,0.233901342883827,NA,NA,0.388074269862341,0.44439999511144,0.497501240216763,NA
"MLC-042",8,6.234,NA,0.0522677574036206,0.0593455149090818,NA,NA,0.111066626110308,0.146764119751721,NA,NA,0.176676644011578,0.290009060831731,NA,NA,0.353065528992611,0.366985934884335,NA,NA,0.690642718370672,0.752031614967936,NA
"MLC-043",6,6.895,NA,NA,NA,0.0484111387692633,0.050132571916931,0.0744987128594246,0.0858272708746312,0.0888791699378123,0.117175333047936,NA,NA,0.155496273689119,0.187418013222166,0.225326963335813,0.233659270134959,NA,NA,NA,0.295431938978173,NA
"MLC-044",11,19.667,NA,0.0309054945063904,0.0401189607477401,NA,0.0502256871847125,NA,NA,NA,0.224495397726024,NA,NA,0.366488174848422,0.408033620981845,NA,0.438351536632726,NA,NA,NA,0.548015680902642,NA
"MLC-045",8,5.923,NA,0.10406234352926,NA,0.118871258143398,NA,NA,NA,NA,0.196276443416925,NA,NA,0.257855597736362,NA,0.514837517691374,NA,NA,0.526708485704258,NA,0.776269406923041,NA
"MLC-046",6,5.472,NA,0.0358402858555002,NA,NA,NA,0.050080113348177,NA,0.103832117401965,0.11028459061621,0.121214954034024,0.155120836735247,0.182944875484095,0.237730421526812,NA,0.25142836774437,0.290188591772819,0.423664110596504,0.591429765646737,0.678368588509844,NA
"MLC-047",10,26,NA,NA,0.0796829171245474,0.0857060750464732,0.100230064458645,0.140158373803362,NA,0.155208011543019,0.183379829651765,0.225008781391432,NA,NA,NA,NA,0.315560984764927,0.321838251921909,0.333180087522639,0.351220219323293,0.832343465248006,NA
"MLC-048",8,7.63,NA,0.0310010977370357,0.0334728679842941,0.0396878204701261,0.0486174559110357,0.091674916582325,NA,0.125158807605181,0.15521527230132,0.156158963052753,0.166090658295951,0.181753830820024,0.231260429444924,NA,0.269208856732849,0.286503339421378,0.303211458000331,0.313650005310687,0.368861201524772,NA
"MLC-049",6,6.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145872430208675,NA,NA,NA,NA,0.478338544566755,NA,NA
"MLC-050",11,15.647,NA,0.0496023488485488,0.0506999882150647,0.0609787114129732,NA,NA,0.0963575004689743,0.134997819036293,0.142901393127991,NA,NA,0.168296993894929,0.21957298983216,0.245301817972513,0.273698766183705,NA,0.511483101482091,0.519919840891579,0.75232006361021,NA
